Day,Jan.,Feb.,Mar.,Apr.,May,June,July,Aug.,Sep.,Oct.,Nov.,Dec.
1,0.33,0.43,0.36,0.49,0.55,0.74,0.82,0.94,0.99,1,0.99,0.99
2,0.42,0.53,0.45,0.6,0.66,0.84,0.9,0.98,1,1,0.97,0.96
3,0.51,0.62,0.55,0.7,0.77,0.92,0.96,1,0.99,0.98,0.94,0.92
4,0.61,0.72,0.65,0.8,0.86,0.97,0.99,0.99,0.96,0.95,0.88,0.86
5,0.7,0.81,0.75,0.89,0.93,1,1,0.97,0.91,0.9,0.81,0.78
6,0.79,0.89,0.84,0.95,0.98,1,0.98,0.93,0.85,0.83,0.73,0.68
7,0.86,0.95,0.92,0.99,1,0.97,0.95,0.87,0.78,0.76,0.63,0.58
8,0.93,0.99,0.97,1,0.99,0.92,0.89,0.8,0.69,0.67,0.53,0.47
9,0.97,1,1,0.98,0.95,0.85,0.82,0.72,0.6,0.57,0.42,0.36
10,1,0.98,0.99,0.93,0.89,0.77,0.74,0.63,0.51,0.47,0.31,0.25
11,1,0.94,0.96,0.85,0.81,0.68,0.66,0.54,0.41,0.37,0.21,0.15
12,0.97,0.87,0.9,0.77,0.72,0.59,0.56,0.44,0.31,0.26,0.12,0.08
13,0.92,0.78,0.82,0.67,0.62,0.49,0.47,0.34,0.22,0.17,0.05,0.03
14,0.84,0.68,0.72,0.57,0.53,0.4,0.37,0.25,0.13,0.09,0.01,0
15,0.74,0.57,0.62,0.46,0.43,0.31,0.28,0.17,0.07,0.04,0,0.01
16,0.64,0.46,0.51,0.37,0.34,0.23,0.2,0.1,0.02,0.01,0.02,0.04
17,0.52,0.35,0.4,0.27,0.25,0.15,0.13,0.04,0,0.01,0.06,0.09
18,0.41,0.25,0.31,0.19,0.17,0.09,0.07,0.01,0.01,0.04,0.13,0.16
19,0.31,0.17,0.22,0.13,0.11,0.04,0.02,0,0.05,0.09,0.22,0.25
20,0.21,0.1,0.14,0.07,0.06,0.01,0,0.02,0.12,0.17,0.31,0.34
21,0.13,0.05,0.08,0.03,0.02,0,0.01,0.07,0.21,0.27,0.41,0.44
22,0.07,0.02,0.04,0.01,0,0.01,0.03,0.14,0.31,0.37,0.51,0.53
23,0.03,0,0.01,0,0,0.05,0.09,0.24,0.42,0.48,0.61,0.63
24,0,0.01,0,0.01,0.03,0.11,0.16,0.34,0.53,0.58,0.7,0.72
25,0,0.03,0.01,0.05,0.07,0.18,0.26,0.45,0.63,0.68,0.79,0.8
26,0.02,0.07,0.04,0.1,0.13,0.28,0.37,0.57,0.73,0.77,0.86,0.87
27,0.06,0.12,0.08,0.16,0.21,0.39,0.48,0.67,0.81,0.84,0.92,0.93
28,0.11,0.19,0.14,0.24,0.3,0.5,0.59,0.77,0.88,0.9,0.96,0.97
29,0.18,0.27,0.21,0.34,0.41,0.61,0.7,0.85,0.94,0.95,0.99,0.99
30,0.25,--,0.29,0.44,0.52,0.72,0.8,0.92,0.98,0.98,1,1
31,0.34,--,0.39,--,0.64,--,0.88,0.96,--,1,--,0.98
