Day,Jan.,Feb.,Mar.,Apr.,May,June,July,Aug.,Sep.,Oct.,Nov.,Dec.
1,0.51,0.61,0.53,0.65,0.7,0.86,0.92,0.99,0.99,0.99,0.94,0.93
2,0.6,0.7,0.62,0.75,0.8,0.93,0.97,1,0.97,0.95,0.89,0.88
3,0.69,0.79,0.72,0.84,0.88,0.98,1,0.98,0.92,0.91,0.83,0.81
4,0.78,0.86,0.8,0.91,0.95,1,0.99,0.94,0.86,0.84,0.75,0.73
5,0.85,0.92,0.88,0.97,0.99,0.99,0.97,0.88,0.79,0.77,0.67,0.64
6,0.91,0.97,0.94,1,1,0.95,0.91,0.81,0.7,0.69,0.57,0.53
7,0.96,0.99,0.98,0.99,0.98,0.89,0.84,0.73,0.62,0.6,0.47,0.43
8,0.99,1,1,0.96,0.93,0.81,0.76,0.64,0.52,0.5,0.37,0.32
9,1,0.97,0.99,0.91,0.86,0.71,0.67,0.54,0.43,0.4,0.27,0.22
10,0.99,0.92,0.95,0.83,0.77,0.61,0.57,0.45,0.33,0.3,0.18,0.13
11,0.95,0.85,0.88,0.73,0.67,0.51,0.48,0.36,0.24,0.21,0.1,0.06
12,0.9,0.76,0.79,0.62,0.56,0.41,0.38,0.27,0.16,0.13,0.04,0.02
13,0.82,0.66,0.69,0.51,0.46,0.32,0.29,0.19,0.09,0.07,0.01,0
14,0.73,0.54,0.58,0.41,0.36,0.23,0.21,0.12,0.04,0.02,0,0.02
15,0.62,0.43,0.47,0.31,0.27,0.16,0.14,0.06,0.01,0,0.03,0.06
16,0.51,0.32,0.36,0.22,0.19,0.1,0.08,0.02,0,0.01,0.09,0.13
17,0.39,0.22,0.26,0.14,0.12,0.05,0.03,0,0.02,0.05,0.17,0.21
18,0.28,0.14,0.18,0.08,0.06,0.02,0.01,0.01,0.07,0.11,0.26,0.31
19,0.19,0.07,0.11,0.04,0.02,0,0,0.04,0.14,0.2,0.36,0.41
20,0.11,0.03,0.05,0.01,0,0.01,0.02,0.09,0.23,0.3,0.47,0.51
21,0.05,0.01,0.02,0,0,0.03,0.05,0.16,0.33,0.41,0.58,0.61
22,0.01,0,0,0.01,0.02,0.07,0.11,0.25,0.45,0.52,0.68,0.7
23,0,0.02,0.01,0.04,0.05,0.13,0.19,0.36,0.56,0.63,0.77,0.79
24,0.01,0.06,0.03,0.08,0.1,0.21,0.28,0.47,0.67,0.73,0.84,0.86
25,0.05,0.11,0.07,0.14,0.17,0.31,0.38,0.59,0.77,0.81,0.91,0.92
26,0.1,0.18,0.12,0.21,0.25,0.41,0.5,0.7,0.85,0.89,0.95,0.96
27,0.17,0.26,0.19,0.3,0.34,0.52,0.61,0.79,0.92,0.94,0.99,0.99
28,0.24,0.34,0.27,0.39,0.45,0.63,0.72,0.88,0.96,0.98,1,1
29,0.33,0.43,0.36,0.49,0.55,0.74,0.82,0.94,0.99,1,1,0.99
30,0.42,--,0.45,0.6,0.66,0.84,0.9,0.98,1,1,0.97,0.97
31,0.52,--,0.55,--,0.77,--,0.96,1,--,0.98,--,0.92
