Day,Jan.,Feb.,Mar.,Apr.,May,June,July,Aug.,Sep.,Oct.,Nov.,Dec.
1,0,0.03,0,0.03,0.05,0.12,0.14,0.24,0.38,0.45,0.64,0.71
2,0.01,0.09,0.01,0.08,0.1,0.19,0.21,0.33,0.49,0.56,0.75,0.81
3,0.06,0.16,0.06,0.14,0.17,0.27,0.3,0.43,0.6,0.67,0.84,0.89
4,0.12,0.25,0.12,0.22,0.25,0.36,0.39,0.53,0.7,0.78,0.91,0.95
5,0.21,0.35,0.2,0.31,0.33,0.45,0.48,0.64,0.8,0.87,0.97,0.98
6,0.31,0.45,0.29,0.4,0.43,0.55,0.59,0.74,0.89,0.94,1,1
7,0.41,0.55,0.38,0.5,0.52,0.64,0.68,0.83,0.95,0.98,1,0.99
8,0.52,0.65,0.48,0.59,0.61,0.74,0.78,0.91,0.99,1,0.98,0.96
9,0.62,0.74,0.58,0.68,0.71,0.82,0.86,0.97,1,0.99,0.93,0.92
10,0.72,0.82,0.67,0.77,0.79,0.9,0.93,1,0.98,0.95,0.87,0.86
11,0.8,0.88,0.75,0.84,0.87,0.95,0.98,0.99,0.93,0.9,0.8,0.78
12,0.87,0.94,0.83,0.91,0.93,0.99,1,0.96,0.86,0.82,0.71,0.7
13,0.93,0.97,0.89,0.96,0.97,1,0.99,0.9,0.77,0.74,0.62,0.61
14,0.97,0.99,0.95,0.99,1,0.98,0.95,0.82,0.68,0.64,0.53,0.52
15,0.99,1,0.98,1,1,0.93,0.88,0.73,0.58,0.55,0.44,0.43
16,1,0.98,1,0.99,0.97,0.86,0.79,0.63,0.48,0.45,0.34,0.33
17,0.99,0.95,1,0.95,0.92,0.77,0.69,0.52,0.38,0.36,0.26,0.24
18,0.96,0.9,0.97,0.9,0.84,0.66,0.58,0.42,0.29,0.27,0.18,0.16
19,0.91,0.83,0.93,0.82,0.75,0.55,0.47,0.32,0.21,0.19,0.11,0.09
20,0.85,0.74,0.87,0.72,0.64,0.44,0.37,0.23,0.14,0.12,0.05,0.04
21,0.78,0.65,0.79,0.61,0.53,0.33,0.27,0.16,0.08,0.07,0.02,0.01
22,0.69,0.54,0.69,0.5,0.41,0.24,0.19,0.1,0.04,0.03,0,0
23,0.59,0.43,0.58,0.39,0.3,0.15,0.12,0.05,0.01,0,0.01,0.02
24,0.49,0.32,0.47,0.28,0.21,0.09,0.06,0.02,0,0,0.04,0.07
25,0.38,0.22,0.36,0.18,0.13,0.04,0.03,0,0.01,0.02,0.1,0.14
26,0.28,0.13,0.25,0.1,0.06,0.01,0.01,0.01,0.04,0.06,0.18,0.24
27,0.18,0.06,0.16,0.04,0.02,0,0,0.03,0.09,0.13,0.27,0.34
28,0.1,0.02,0.08,0.01,0,0.01,0.02,0.07,0.16,0.21,0.38,0.45
29,0.04,--,0.03,0,0,0.04,0.05,0.12,0.24,0.3,0.49,0.56
30,0.01,--,0,0.01,0.03,0.08,0.1,0.2,0.34,0.41,0.6,0.67
31,0,--,0,--,0.07,--,0.17,0.28,--,0.53,--,0.77
